Name,Age,Nationality,Overall,Position,Value,Preferred Foot,Height,Weight,Position_Type
L. Messi,31,Argentina,94,RF,110.5,Left,67,159,Attack
Cristiano Ronaldo,33,Portugal,94,ST,77,Right,74,183,Attack
Neymar Jr,26,Brazil,92,LW,118.5,Right,69,150,Attack
De Gea,27,Spain,91,GK,72,Right,76,168,Defense
K. De Bruyne,27,Belgium,91,RCM,102,Right,71,154,Midfield
E. Hazard,27,Belgium,91,LF,93,Right,68,163,Attack
L. Modrić,32,Croatia,91,RCM,67,Right,68,146,Midfield
L. Suárez,31,Uruguay,91,RS,80,Right,72,190,Attack
Sergio Ramos,32,Spain,91,RCB,51,Right,72,181,Defense
J. Oblak,25,Slovenia,90,GK,68,Right,74,192,Defense
R. Lewandowski,29,Poland,90,ST,77,Right,72,176,Attack
T. Kroos,28,Germany,90,LCM,76.5,Right,72,168,Midfield
D. Godín,32,Uruguay,90,CB,44,Right,74,172,Defense
David Silva,32,Spain,90,LCM,60,Left,68,148,Midfield
N. Kanté,27,France,89,LDM,63,Right,66,159,Midfield
P. Dybala,24,Argentina,89,LF,89,Left,70,165,Attack
H. Kane,24,England,89,ST,83.5,Right,74,196,Attack
A. Griezmann,27,France,89,CAM,78,Left,69,161,Midfield
M. ter Stegen,26,Germany,89,GK,58,Right,74,187,Defense
T. Courtois,26,Belgium,89,GK,53.5,Left,78,212,Defense
Sergio Busquets,29,Spain,89,CDM,51.5,Right,74,168,Midfield
E. Cavani,31,Uruguay,89,LS,60,Right,73,170,Attack
M. Neuer,32,Germany,89,GK,38,Right,76,203,Defense
S. Agüero,30,Argentina,89,ST,64.5,Right,68,154,Attack
G. Chiellini,33,Italy,89,LCB,27,Left,74,187,Defense
K. Mbappé,19,France,88,RM,81,Right,70,161,Midfield
M. Salah,26,Egypt,88,RM,69.5,Left,69,157,Midfield
Casemiro,26,Brazil,88,CDM,59.5,Right,73,185,Midfield
J. Rodríguez,26,Colombia,88,LAM,69.5,Left,71,172,Midfield
L. Insigne,27,Italy,88,LW,62,Right,64,130,Attack
Isco,26,Spain,88,LW,73.5,Right,69,174,Attack
C. Eriksen,26,Denmark,88,CAM,73.5,Right,71,168,Midfield
Coutinho,26,Brazil,88,LW,69.5,Right,68,150,Attack
P. Aubameyang,29,Gabon,88,LM,59,Right,74,176,Midfield
M. Hummels,29,Germany,88,LCB,46,Right,75,203,Defense
Marcelo,30,Brazil,88,LB,43,Left,69,176,Defense
G. Bale,28,Wales,88,ST,60,Left,73,181,Attack
H. Lloris,31,France,88,GK,36,Left,74,181,Defense
G. Higuaín,30,Argentina,88,LS,57,Right,73,196,Attack
Thiago Silva,33,Brazil,88,RCB,24,Right,72,181,Defense
S. Handanovič,33,Slovenia,88,GK,30,Right,76,203,Defense
G. Buffon,40,Italy,88,GK,4,Right,76,203,Defense
S. Umtiti,24,France,87,CB,57,Left,72,165,Defense
M. Icardi,25,Argentina,87,ST,64.5,Right,71,165,Attack
K. Koulibaly,27,Senegal,87,LCB,51,Right,74,196,Defense
P. Pogba,25,France,87,RDM,64,Right,76,185,Midfield
K. Navas,31,Costa Rica,87,GK,30.5,Right,73,176,Defense
R. Lukaku,25,Belgium,87,ST,62.5,Left,75,207,Attack
C. Immobile,28,Italy,87,ST,52,Right,73,187,Attack
Jordi Alba,29,Spain,87,LB,38,Left,67,150,Defense
D. Mertens,31,Belgium,87,RF,45,Right,67,134,Attack
J. Vertonghen,31,Belgium,87,LCB,34,Left,74,190,Defense
M. Hamšík,30,Slovakia,87,LCM,46.5,Right,72,174,Midfield
I. Rakitić,30,Croatia,87,RCM,46.5,Right,72,172,Midfield
Piqué,31,Spain,87,RCB,34,Right,76,187,Defense
L. Sané,22,Germany,86,LW,61,Left,72,165,Attack
Bernardo Silva,23,Portugal,86,RW,59.5,Left,68,141,Attack
Ederson,24,Brazil,86,GK,41.5,Left,74,190,Defense
S. Mané,26,Senegal,86,LM,52,Right,69,152,Midfield
V. van Dijk,26,Netherlands,86,LCB,44.5,Right,76,203,Defense
R. Sterling,23,England,86,RW,56.5,Right,67,152,Attack
Roberto Firmino,26,Brazil,86,CAM,53,Right,71,168,Midfield
R. Varane,25,France,86,RCB,50,Right,75,179,Defense
M. Verratti,25,Italy,86,LCM,55,Right,65,132,Midfield
Alex Sandro,27,Brazil,86,LB,36.5,Left,71,176,Defense
Douglas Costa,27,Brazil,86,LM,46.5,Left,68,154,Midfield
T. Müller,28,Germany,86,CAM,45,Right,73,165,Midfield
Thiago,27,Spain,86,CM,45.5,Right,69,154,Midfield
M. Reus,29,Germany,86,LM,43.5,Right,71,157,Midfield
Azpilicueta,28,Spain,86,RB,35,Right,70,168,Defense
L. Bonucci,31,Italy,86,RCB,30,Right,75,187,Defense
T. Alderweireld,29,Belgium,86,RCB,39,Right,73,179,Defense
M. Pjanić,28,Bosnia Herzegovina,86,CDM,44,Right,70,159,Midfield
M. Benatia,31,Morocco,86,CB,30,Right,74,207,Defense
M. Özil,29,Germany,86,CAM,43.5,Left,71,168,Midfield
Fernandinho,33,Brazil,86,CDM,18,Right,70,148,Midfield
Iniesta,34,Spain,86,LF,21.5,Right,67,150,Attack
M. Škriniar,23,Slovakia,85,LCB,46.5,Right,74,176,Defense
S. Milinković-Savić,23,Serbia,85,CM,50.5,Right,75,168,Midfield
Marco Asensio,22,Spain,85,RW,54,Left,72,168,Attack
N. Fekir,24,France,85,CAM,50,Left,68,165,Midfield
